Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Product_Category,Profit,Quantity,Mode_of_Sale,Mode_of_Payment
Blantyre,,173308.15,0,21.9,1.97,109.68,6.8,nan,407.27,,nan,Card Payment
Francistown,2024-02-15,59996.14,0,17.6,3.46,89.39,5.9,nan,-210.91,7,nan,Cash
Arusha,2024-07-20,54881.53,1,30.2,1.9,94.89,2.6,Beverages,1057.68,6,Online,
Bujumbura,2023-12-02,79166.62,0,13.0,4.04,112.76,23.4,Electronics,454.64,,In-Store,Mobile Transfer
Chimoio,2022-11-07,118068.58,0,23.2,1.56,168.34,20.2,Furniture,751.29,1,In-Store,Cash
Ndola,2021-08-19,174466.1,1,21.6,4.84,179.88,24.6,Clothing,248.03,2,In-Store,Card Payment
Nairobi,2022-02-10,86145.36,0,17.2,2.32,121.09,11.0,Furniture,-98.55,,Online,Mobile Transfer
Eldoret,2022-04-23,161406.99,0,unknown,4.63,183.82,,Electronics,1113.02,9,In-Store,Card Payment
Kabwe,,153772.0,1,17.1,2.84,80.91,20.3,Groceries,184.8,,In-Store,Card Payment
Kigali,2024-11-13,136327.99,0,33.2,4.42,132.56,4.0,Clothing,1233.36,7,In-Store,Mobile Transfer
Maseru,2022-11-19,12377.03,1,19.6,1.33,151.69,13.0,Furniture,1431.45,1,In-Store,Cash
Eldoret,2022-05-15,unknown,1,26.6,4.48,188.55,8.9,Beverages,1159.98,,In-Store,Mobile Transfer
Gaborone,2021-09-06,20617.75,0,28.4,unknown,83.95,4.2,Groceries,-243.72,4,In-Store,Card Payment
Asmara,2021-12-15,14133.06,0,25.5,3.01,192.05,21.4,Beverages,1210.02,2,In-Store,
Kitwe,2022-10-13,42374.76,0,24.9,4.57,92.11,22.6,Beverages,538.72,7,In-Store,Mobile Transfer
Addis_Ababa,2024-07-07,2162.36,1,36.8,1.96,107.31,3.8,Beverages,-17.18,6,In-Store,Cash
Nampula,2024-05-31,191989.26,1,22.5,2.12,155.82,2.5,Beverages,-313.69,9,In-Store,Card Payment
Gweru,2024-07-24,182304.72,1,32.3,3.43,138.89,6.0,Clothing,57.02,9,In-Store,
Beira,2023-04-22,90265.03,0,12.4,1.65,194.77,3.8,nan,-225.15,4,In-Store,Mobile Transfer
Ndola,2025-05-29,125674.05,1,25.6,4.6,,10.8,Clothing,-448.71,5,In-Store,Cash
Arusha,2022-07-03,163231.09,0,,1.36,178.12,21.8,Clothing,1475.53,5,In-Store,Card Payment
Dar_es_Salaam,2022-04-17,181301.59,0,31.8,1.59,89.34,4.5,Furniture,1163.08,8,In-Store,Cash
Lindi,2023-07-02,61655.62,1,31.5,2.97,94.76,21.2,Electronics,977.9,1,In-Store,Mobile Transfer
Bujumbura,2024-01-11,160424.47,1,21.8,2.6,178.22,12.2,nan,,6,In-Store,Card Payment
Bujumbura,2023-05-30,17178.77,,20.0,4.04,158.1,15.4,Electronics,-444.53,,nan,Card Payment
Beira,2023-07-28,33877.02,0,35.9,3.45,146.89,,Groceries,470.41,2,In-Store,Mobile Transfer
Gaborone,2024-12-01,83411.24,0,13.4,3.82,125.38,2.9,nan,,4,Online,Card Payment
Nampula,2021-02-09,129363.12,0,26.0,3.75,166.26,11.1,Furniture,1425.67,7,In-Store,
Nakuru,,,0,16.9,4.22,175.49,14.5,Furniture,1187.77,2,In-Store,Mobile Transfer
Chimoio,2024-01-03,173549.15,0,17.1,1.02,141.75,10.3,Electronics,,6,Online,Card Payment
Maputo,2022-10-27,11512.3,1,,3.23,127.2,9.6,Beverages,-22.67,5,Online,Card Payment
Maseru,2022-07-19,125318.72,0,11.2,,146.67,12.6,Clothing,-189.35,1,In-Store,Mobile Transfer
Malindi,2021-02-13,31444.09,0,33.6,3.73,96.65,9.5,Groceries,,1,nan,Cash
Dar_es_Salaam,2023-11-17,179972.95,0,23.4,1.69,153.55,8.8,Electronics,-222.84,8,In-Store,Card Payment
Manzini,2020-08-01,71418.42,1,30.0,1.42,,2.2,nan,1096.97,,In-Store,Cash
Mombasa,2024-06-01,189172.21,0,15.9,2.63,97.3,13.8,Clothing,1306.09,7,In-Store,Cash
Kabwe,2025-03-26,179227.68,1,39.1,2.86,107.84,9.9,Clothing,114.68,9,nan,Card Payment
Chipata,,134804.46,0,10.2,1.5,177.55,10.4,Beverages,1253.85,2,In-Store,Card Payment
Blantyre,2021-12-01,45092.79,1,34.6,4.71,95.12,3.2,Beverages,,10,Online,Mobile Transfer
Kafue,2024-10-06,6138.91,1,16.3,1.18,170.06,13.6,Electronics,854.71,10,nan,Mobile Transfer
Lubango,2021-12-20,189498.04,0,37.1,3.75,126.15,4.5,Beverages,554.99,,Online,Mobile Transfer
Arusha,2025-01-11,,0,27.3,2.95,158.77,19.4,Clothing,53.49,6,In-Store,Mobile Transfer
Dodoma,2023-04-30,106431.22,1,19.2,4.19,196.23,23.0,Electronics,1036.4,7,In-Store,
Morogoro,2020-08-08,128155.17,,27.8,1.56,166.14,16.6,Electronics,-75.91,7,In-Store,Mobile Transfer
Nakuru,2022-02-12,159620.75,0,30.1,3.56,101.46,unknown,Clothing,332.3,6,In-Store,
Ndola,2023-06-15,123770.03,0,19.4,4.44,129.12,18.6,Clothing,919.72,4,In-Store,Card Payment
Eldoret,2021-09-26,50583.5,1,29.7,4.23,134.83,8.1,Clothing,176.46,3,In-Store,Card Payment
Kitwe,2022-01-12,174759.81,1,31.5,2.01,118.17,20.2,Groceries,1210.72,9,In-Store,Card Payment
Mbeya,2024-09-22,149237.96,0,15.1,1.91,99.01,10.2,Beverages,1230.85,5,Online,Card Payment
Malindi,2021-09-12,78367.84,0,17.8,4.37,,20.1,Beverages,-94.94,1,In-Store,Card Payment
Lubango,2024-01-06,101404.49,1,31.3,4.09,97.28,5.2,Electronics,380.78,1,In-Store,Cash
Gweru,2023-11-30,146472.35,1,26.8,4.31,113.67,17.0,Clothing,364.03,8,Online,Mobile Transfer
Lubango,2021-06-20,153902.16,1,22.7,2.54,93.32,21.0,Electronics,320.09,5,nan,Cash
Zanzibar,2021-07-02,174823.34,0,11.7,4.07,128.46,19.6,nan,503.94,5,Online,
Mutare,2025-07-08,56142.83,0,13.4,1.44,135.91,7.5,Furniture,-351.27,2,In-Store,Card Payment
Francistown,2023-08-09,191953.98,0,18.8,1.86,95.68,22.5,Beverages,1240.1,8,In-Store,Card Payment
Eldoret,2020-12-15,177034.11,1,33.3,4.43,98.77,18.6,Clothing,79.83,6,In-Store,Cash
Asmara,2025-02-22,121012.07,1,35.9,4.39,83.0,21.0,Groceries,-496.38,1,In-Store,Card Payment
Harare,2023-05-06,179232.61,0,19.8,4.59,183.55,17.5,Groceries,870.21,9,In-Store,Card Payment
Chipata,2023-08-08,196634.39,1,35.4,4.29,94.18,22.6,Electronics,800.94,6,In-Store,Cash
Eldoret,2022-12-22,183744.64,,30.2,2.77,132.4,8.9,Beverages,,,In-Store,Card Payment
Addis_Ababa,2023-01-06,169101.01,0,33.8,1.89,158.12,9.1,Beverages,938.49,6,In-Store,
Kigali,2023-03-09,97278.69,1,15.7,2.07,,6.2,Beverages,165.41,4,Online,Card Payment
Windhoek,2021-07-26,47634.49,0,30.0,2.71,186.27,11.6,nan,,,Online,Card Payment
Windhoek,2021-06-23,10560.99,1,33.2,2.78,129.38,24.4,Groceries,230.69,8,Online,Card Payment
Bulawayo,2022-12-26,73163.13,0,14.7,2.77,95.98,9.0,nan,1142.49,2,In-Store,Mobile Transfer
Bujumbura,2023-09-15,15774.56,0,24.6,3.35,144.15,13.3,Furniture,171.35,3,nan,Card Payment
Chipata,2024-06-02,133076.52,1,28.9,1.45,174.85,12.6,Clothing,-402.58,8,Online,Card Payment
Kigali,2021-04-16,134306.83,1,29.8,,188.89,12.4,Beverages,967.57,2,In-Store,Card Payment
Tanga,2022-12-09,145397.64,1,35.6,2.42,119.74,2.3,Furniture,200.42,10,In-Store,Mobile Transfer
Dar_es_Salaam,2023-03-10,17357.94,0,27.9,3.84,,,Electronics,,8,In-Store,Cash
Gweru,2021-08-21,94573.64,1,12.3,1.81,192.9,15.3,Clothing,931.7,8,In-Store,Cash
Harare,2021-11-06,81142.05,0,,3.41,128.46,16.7,Electronics,144.08,,In-Store,Mobile Transfer
Nampula,2025-06-29,167239.67,0,15.9,2.01,170.97,19.8,Clothing,-263.97,5,In-Store,Cash
Beira,2021-02-09,107367.17,0,24.8,3.82,173.86,22.7,Groceries,309.02,8,nan,Card Payment
Gaborone,2021-02-02,30643.63,0,16.8,1.49,133.63,3.0,Beverages,1147.69,7,In-Store,Mobile Transfer
,2021-10-08,unknown,0,21.2,4.0,199.6,6.6,Furniture,-239.59,8,In-Store,Cash
Bulawayo,2023-06-17,137380.28,1,22.0,unknown,147.68,5.4,Electronics,608.96,1,In-Store,Card Payment
Harare,2021-02-17,42441.92,0,26.5,4.0,191.88,16.0,Electronics,-235.48,7,In-Store,Cash
Windhoek,2022-01-30,121403.11,0,14.6,4.91,173.93,9.2,nan,-401.63,7,In-Store,Cash
Kigali,2023-08-31,164542.37,1,12.7,2.1,177.6,21.5,Clothing,257.42,2,In-Store,Cash
Nairobi,2022-05-08,95261.17,0,36.2,2.06,97.45,7.0,Electronics,815.77,,In-Store,Cash
Gweru,2023-01-29,62451.48,1,39.2,1.08,116.99,23.6,Beverages,49.97,6,In-Store,Card Payment
Lilongwe,2024-09-23,129483.01,1,28.5,2.47,181.62,17.6,Clothing,391.46,,Online,Mobile Transfer
Asmara,2022-02-01,92995.14,1,16.9,1.47,86.72,16.4,Furniture,482.66,6,Online,Card Payment
Malindi,2022-08-12,128926.02,0,17.0,2.94,unknown,7.3,Electronics,1182.58,,Online,Card Payment
Malindi,2022-10-21,152672.89,0,36.6,2.2,96.06,8.8,Electronics,1137.96,3,In-Store,
Mbeya,2024-02-01,193581.01,0,14.2,3.34,164.46,14.2,Beverages,-495.31,2,In-Store,Cash
Asmara,2023-02-03,72326.47,1,38.8,2.54,91.24,7.5,nan,327.84,4,In-Store,Card Payment
Kafue,2023-01-15,59032.74,0,,3.65,163.6,14.0,Beverages,812.18,4,In-Store,Card Payment
Lusaka,2022-10-07,91950.35,0,32.1,2.1,199.39,11.9,Groceries,1204.79,5,In-Store,Card Payment
Harare,2021-12-27,44565.66,0,30.7,2.86,98.05,,Clothing,-402.2,7,In-Store,Card Payment
Windhoek,2024-10-16,,1,34.6,2.8,,13.4,Electronics,756.5,3,Online,Card Payment
Mombasa,2022-11-13,76987.75,0,27.7,1.82,173.49,11.0,Beverages,,6,Online,Card Payment
Mombasa,2020-09-09,199575.3,1,24.6,1.84,177.38,3.0,Electronics,,8,In-Store,Cash
Kabwe,2022-07-26,81843.65,1,18.5,3.71,118.91,11.0,nan,,,In-Store,Mobile Transfer
Kitwe,2021-01-15,173534.57,0,12.5,2.12,113.2,15.1,Groceries,435.7,9,In-Store,Mobile Transfer
Nairobi,2024-05-10,92968.08,1,32.3,1.7,151.15,22.1,Clothing,1425.16,2,In-Store,Cash
Malindi,2022-03-04,198190.2,0,22.2,2.52,134.08,16.1,Clothing,885.77,4,In-Store,Cash
Juba,2021-07-10,44767.56,0,37.4,4.17,unknown,24.1,Beverages,,1,Online,Mobile Transfer
Chimoio,2021-10-03,41077.98,1,15.5,4.57,92.25,19.0,Electronics,-458.27,7,Online,Mobile Transfer
Zanzibar,2024-09-25,50600.03,1,19.3,1.02,194.14,5.1,Groceries,613.45,6,In-Store,Card Payment
Lindi,2023-01-30,10202.1,1,34.6,unknown,unknown,17.2,Beverages,197.58,3,In-Store,Card Payment
,2025-04-05,40035.65,0,25.7,4.2,162.91,16.4,Electronics,-128.57,5,In-Store,Card Payment
Lusaka,2022-04-27,70790.4,,26.3,2.04,168.85,4.3,Clothing,500.3,,In-Store,Mobile Transfer
Lubango,2024-03-16,171349.62,1,25.4,1.78,164.38,6.1,Clothing,182.77,10,In-Store,Mobile Transfer
Lusaka,2022-05-20,146450.7,1,11.2,1.42,114.56,13.4,nan,-422.55,7,In-Store,Mobile Transfer
Manzini,2021-05-07,124977.83,0,12.2,4.06,131.71,11.0,nan,951.01,8,Online,Card Payment
Lilongwe,2020-08-20,182690.26,1,27.7,1.73,141.91,3.6,Groceries,965.17,8,In-Store,
Kafue,unknown,32008.39,0,25.8,3.9,121.73,4.6,Clothing,737.66,9,nan,Cash
Addis_Ababa,2024-11-23,unknown,0,20.1,4.2,125.72,9.3,Furniture,1181.64,9,nan,Card Payment
Blantyre,,115947.43,0,30.1,4.27,190.35,13.2,Furniture,-93.64,4,In-Store,Mobile Transfer
Asmara,2023-10-26,,1,13.6,2.85,195.6,11.4,Electronics,,10,In-Store,Cash
Ndola,2022-01-31,13541.38,0,11.4,3.85,93.87,,Furniture,417.31,5,In-Store,Cash
Chipata,2025-06-05,197614.37,0,25.2,2.41,188.97,14.9,Beverages,-379.65,9,Online,Card Payment
Malindi,2022-03-21,137364.12,unknown,12.7,4.29,176.54,20.0,nan,,5,In-Store,Mobile Transfer
Lusaka,2022-07-06,,1,10.5,4.48,184.56,5.9,Beverages,481.26,3,In-Store,Mobile Transfer
Kigali,2020-10-15,60316.44,1,22.6,3.32,138.65,11.7,Groceries,149.33,9,In-Store,Mobile Transfer
Maseru,2024-08-22,108893.71,0,,4.7,122.96,17.2,Beverages,455.93,8,In-Store,Card Payment
Mbeya,2020-09-26,31430.52,1,21.8,4.95,170.14,5.5,Groceries,150.26,,In-Store,Card Payment
Mbeya,2021-03-03,169135.36,0,19.4,2.87,117.35,13.8,Electronics,72.53,6,Online,Mobile Transfer
Gaborone,2020-09-20,133474.97,1,24.4,unknown,117.1,10.4,Furniture,396.04,2,Online,Mobile Transfer
Nampula,2020-12-12,140682.98,0,19.4,2.78,145.14,12.9,Beverages,463.81,6,In-Store,Cash
Mbabane,2025-06-27,197444.36,1,26.1,2.77,155.86,19.3,Groceries,366.69,3,In-Store,Cash
Kigali,2023-03-24,106618.07,1,21.1,1.4,126.24,19.6,nan,595.86,2,In-Store,Mobile Transfer
Juba,2024-07-29,169435.32,0,36.1,4.0,108.64,21.5,Furniture,,6,In-Store,Cash
Gweru,2023-01-26,72257.75,1,12.4,1.19,143.63,16.3,Groceries,-385.46,8,In-Store,
Nampula,2021-07-07,133478.22,0,30.2,4.02,188.2,5.5,Groceries,1123.04,7,In-Store,Mobile Transfer
Bulawayo,2021-06-19,6626.49,0,19.9,4.59,171.37,24.7,Groceries,-42.93,4,In-Store,
Kitwe,2022-06-19,151588.89,0,22.7,1.01,88.9,3.8,Beverages,4.19,8,In-Store,Mobile Transfer
Dar_es_Salaam,2024-08-09,41153.0,1,10.8,3.29,178.54,14.4,Clothing,698.93,,In-Store,
Mombasa,2023-06-12,104777.99,1,18.7,4.94,172.38,6.4,Groceries,1451.34,7,In-Store,Card Payment
Dodoma,unknown,85321.78,0,21.4,1.31,138.73,23.1,Groceries,-465.2,,In-Store,Card Payment
Lusaka,2022-07-21,80526.47,0,32.4,1.28,199.96,21.0,Furniture,846.27,4,In-Store,Mobile Transfer
Lusaka,2025-03-24,180537.09,0,15.7,2.99,122.43,12.2,Electronics,893.79,3,In-Store,Mobile Transfer
Kitwe,2021-01-12,161152.14,1,15.0,3.18,162.46,13.7,Clothing,647.3,,In-Store,Card Payment
Addis_Ababa,2020-12-27,88135.51,1,25.6,1.34,148.61,13.6,nan,-480.62,,Online,Mobile Transfer
Kisumu,2024-06-15,59769.24,0,21.7,3.79,127.53,5.0,nan,712.7,7,In-Store,Card Payment
Maseru,2023-06-08,8949.27,1,28.8,1.7,180.89,8.0,Clothing,-269.96,8,In-Store,
Kisumu,2021-03-05,170912.05,0,11.3,2.3,89.83,9.5,Electronics,-343.86,4,In-Store,Card Payment
Mbabane,2025-02-12,unknown,1,22.9,2.01,103.21,3.6,Furniture,892.12,,In-Store,Mobile Transfer
Maseru,2024-04-26,111314.31,0,12.5,1.92,188.11,22.2,Beverages,900.47,9,Online,Card Payment
Lusaka,2022-05-18,86080.77,1,29.2,4.7,80.37,14.7,Electronics,1279.82,7,In-Store,
Maputo,2021-09-14,158759.37,0,12.5,4.65,180.14,5.5,Furniture,-493.24,2,In-Store,Mobile Transfer
Nakuru,2023-02-18,191167.32,1,25.8,3.51,132.84,21.2,Electronics,257.52,9,In-Store,
Maputo,2022-01-04,27564.41,1,16.8,3.56,89.24,12.9,Beverages,-475.46,5,In-Store,Cash
Zanzibar,2023-01-04,164298.62,0,30.0,2.65,158.21,16.4,Furniture,229.33,10,In-Store,Card Payment
Maputo,2025-07-17,81740.14,0,20.1,unknown,unknown,7.0,Beverages,,6,In-Store,Cash
Livingstone,2024-03-01,36346.82,0,15.8,4.49,161.45,19.2,Groceries,559.46,2,In-Store,Cash
Blantyre,,38093.96,0,21.2,4.78,96.45,4.0,nan,211.87,10,In-Store,Card Payment
Arusha,2023-03-31,94211.58,1,12.0,3.1,141.77,18.8,Beverages,950.6,7,In-Store,Cash
Kampala,2020-12-24,127718.04,0,13.3,4.26,136.34,11.0,Beverages,331.19,9,In-Store,Cash
Francistown,2023-01-11,188068.15,0,10.3,3.81,103.4,12.7,Groceries,534.25,2,In-Store,Card Payment
Bulawayo,2022-12-17,161313.72,1,28.4,4.77,113.93,9.0,Clothing,1100.18,9,In-Store,Cash
Kisumu,2022-12-31,123353.3,0,17.3,2.22,100.35,unknown,nan,-151.39,5,In-Store,
Livingstone,2023-08-03,109450.22,0,18.3,2.24,145.29,,nan,141.79,1,Online,Mobile Transfer
Bulawayo,2023-04-20,63771.63,0,32.1,2.95,139.81,14.1,Clothing,542.86,5,In-Store,Cash
Kabwe,2021-11-27,167583.4,1,28.8,,152.94,3.2,Electronics,1035.24,,In-Store,Mobile Transfer
Morogoro,2025-04-16,154625.89,0,14.1,1.39,131.26,3.5,Groceries,350.71,8,nan,Cash
Morogoro,2024-07-21,,0,19.6,4.62,93.5,16.4,Clothing,-354.47,3,In-Store,Card Payment
Mutare,2024-02-28,unknown,0,23.3,2.61,122.04,11.5,Clothing,1477.66,9,In-Store,Card Payment
Tete,2023-08-16,185234.4,0,12.8,1.01,114.11,7.8,Groceries,915.82,5,In-Store,
Nampula,,41021.07,0,30.2,2.26,186.19,18.2,Furniture,945.47,3,In-Store,Mobile Transfer
Lindi,2021-05-02,52475.35,1,22.2,3.44,83.28,12.0,Clothing,430.21,10,In-Store,Cash
Gweru,2023-01-16,150823.44,0,15.5,2.08,123.37,7.5,nan,594.08,1,In-Store,Cash
Asmara,2023-11-17,199932.3,1,35.2,2.6,104.19,22.3,Furniture,1488.1,4,In-Store,
Arusha,2023-12-12,179480.4,1,11.7,4.66,118.58,16.6,Electronics,690.23,7,In-Store,Card Payment
Kisumu,2021-02-01,unknown,1,12.2,4.68,175.89,19.4,nan,-62.14,3,nan,Mobile Transfer
Juba,2025-01-22,8457.3,,,2.05,167.01,9.8,Furniture,1428.76,9,In-Store,Card Payment
Blantyre,2024-03-15,156339.15,1,30.7,4.39,116.19,18.1,Groceries,575.53,5,In-Store,Mobile Transfer
Gweru,2023-10-04,183288.78,0,14.4,2.52,87.01,21.6,Electronics,-458.65,6,In-Store,Cash
Mutare,2020-12-23,189182.29,1,11.6,2.85,199.97,,Electronics,646.7,7,In-Store,
Francistown,2024-11-14,186768.24,0,12.4,1.46,187.13,20.6,Beverages,-359.05,10,In-Store,Card Payment
Lubango,,110660.83,1,19.5,3.46,83.28,23.4,Beverages,555.18,5,In-Store,Cash
Gaborone,2023-02-27,39927.23,1,36.9,,175.85,10.5,Electronics,1150.66,2,In-Store,Card Payment
Maseru,2023-03-17,32134.59,0,16.1,2.9,169.36,13.7,Electronics,577.73,3,In-Store,Card Payment
Dar_es_Salaam,2021-02-27,139757.77,0,10.9,1.4,172.25,7.0,Furniture,246.91,9,Online,
Blantyre,2024-08-11,128992.45,0,23.5,1.27,132.23,13.3,Electronics,1265.22,3,nan,
Nampula,2024-09-28,47438.09,1,27.5,1.4,158.13,23.3,Groceries,,2,Online,Mobile Transfer
Morogoro,2025-06-15,82100.53,1,35.9,4.31,unknown,17.3,nan,194.98,8,Online,
Kigali,2022-01-05,56737.5,1,24.0,2.82,138.54,15.8,Furniture,497.9,8,In-Store,Mobile Transfer
Manzini,2021-02-19,8874.3,unknown,26.4,4.1,181.16,8.9,Electronics,1465.84,,In-Store,
Mbabane,2023-12-28,163406.89,0,22.8,1.7,93.39,23.8,Furniture,,2,In-Store,Mobile Transfer
Mombasa,2024-08-24,158441.29,0,35.0,3.21,unknown,18.3,Clothing,96.31,2,Online,Mobile Transfer
Mbeya,2025-02-08,187372.97,1,31.9,2.27,198.96,11.2,Furniture,356.84,3,In-Store,Cash
Dar_es_Salaam,2024-04-29,161590.86,1,15.6,3.21,195.36,,Beverages,,10,In-Store,Mobile Transfer
Juba,2024-07-16,87020.84,1,32.4,2.23,169.47,7.8,Furniture,44.09,1,In-Store,Mobile Transfer
Chipata,2023-07-30,23061.48,1,33.1,3.03,171.91,13.8,Electronics,,5,In-Store,Card Payment
Kitwe,2020-10-08,152383.86,1,39.4,4.44,101.22,5.3,Electronics,-43.0,3,In-Store,
Asmara,2023-05-17,37492.72,1,33.5,2.43,177.65,17.1,Beverages,872.57,4,Online,Card Payment
Addis_Ababa,2021-04-25,,1,15.6,1.46,148.69,19.3,Beverages,195.34,9,Online,Card Payment
Eldoret,2021-12-16,128190.03,1,26.7,2.55,136.08,7.2,Beverages,,7,In-Store,Card Payment
Arusha,2024-05-11,131327.5,1,27.6,2.69,137.22,22.5,Clothing,1029.07,7,In-Store,Cash
Tete,2023-12-07,9490.73,0,27.1,4.17,145.88,9.9,Furniture,634.83,3,Online,Card Payment
Dar_es_Salaam,2021-10-24,68165.96,0,34.1,1.9,143.91,17.4,Beverages,,,In-Store,Cash
Kampala,2022-11-26,58225.59,0,10.8,3.78,99.88,19.4,Furniture,220.3,9,In-Store,Mobile Transfer
Kabwe,2020-11-21,54606.36,0,38.4,4.23,107.5,8.6,Beverages,,10,Online,Mobile Transfer
Juba,2024-02-14,170070.93,1,23.7,,168.72,20.3,nan,-406.62,9,In-Store,Cash
Maseru,2022-11-10,58649.98,1,10.3,3.45,129.66,4.9,Clothing,1090.9,10,In-Store,Cash
Asmara,2022-09-19,37881.95,0,30.4,2.17,86.66,16.1,Clothing,,1,In-Store,Cash
Mbabane,2021-10-05,172625.74,1,,2.71,125.55,12.6,Furniture,1452.77,9,In-Store,Cash
Arusha,2021-12-17,75279.31,0,23.0,2.76,157.52,12.8,Clothing,1160.62,3,In-Store,
Lilongwe,2022-09-06,188756.16,1,19.5,4.19,113.25,19.3,nan,-467.76,6,In-Store,
Chimoio,2024-05-17,unknown,1,14.1,3.09,147.96,14.2,Clothing,1239.96,2,In-Store,Cash
Ndola,2024-11-30,57163.48,1,23.5,4.82,193.94,21.5,Electronics,-74.27,4,nan,Card Payment
Mbeya,2022-07-13,179213.8,1,39.4,3.79,173.34,23.1,nan,472.53,3,Online,Mobile Transfer
Kigali,2023-12-02,166278.21,0,30.6,3.41,136.88,7.6,Clothing,512.24,6,In-Store,
Ndola,2023-03-29,160827.41,0,19.0,1.26,143.89,24.2,Electronics,-380.56,1,In-Store,Mobile Transfer
Dodoma,2021-04-10,15611.4,0,36.8,4.91,184.85,15.7,Clothing,-248.67,4,In-Store,Cash
Chipata,2023-06-20,48195.0,1,,,167.32,10.2,Beverages,346.09,1,In-Store,Cash
Kabwe,2024-12-23,58352.0,1,29.6,4.08,166.78,6.3,Clothing,785.24,,In-Store,Mobile Transfer
Lusaka,2023-07-30,18028.7,0,23.6,3.73,149.18,9.9,Groceries,28.83,4,Online,Mobile Transfer
Maputo,2024-10-26,56143.06,1,17.8,4.78,163.54,24.0,nan,,5,In-Store,Card Payment
Mbabane,2020-07-25,68612.03,1,20.3,1.96,83.51,12.0,Clothing,,7,In-Store,Cash
Morogoro,2022-10-26,198105.84,0,32.8,2.13,182.27,12.1,Beverages,760.73,8,In-Store,Mobile Transfer
Zanzibar,2021-12-15,78816.24,0,23.0,1.94,158.74,7.3,Clothing,348.87,3,In-Store,Cash
Zanzibar,2025-03-04,89665.77,1,29.7,3.73,101.48,10.1,Clothing,,3,In-Store,Card Payment
Nampula,2024-06-30,67810.29,1,,2.73,,5.2,Beverages,1467.49,10,In-Store,Mobile Transfer
Lusaka,unknown,38335.81,0,27.1,2.71,172.78,16.3,Groceries,1326.1,4,In-Store,Mobile Transfer
Kampala,2021-05-24,22087.74,1,36.3,,135.52,16.7,Clothing,-162.79,6,In-Store,Mobile Transfer
Maseru,2022-09-17,138977.52,0,21.4,4.45,142.43,15.2,Beverages,414.36,,In-Store,Cash
Chipata,2021-03-17,142299.57,1,30.5,3.77,126.98,15.9,Furniture,,6,nan,Mobile Transfer
Kitwe,2023-03-06,135797.22,0,11.8,3.19,193.03,4.4,Beverages,,6,In-Store,Cash
Kafue,2024-11-22,117098.14,1,10.7,3.18,187.94,13.2,Groceries,214.38,2,In-Store,
Kafue,2021-08-09,49001.66,0,15.7,1.05,110.49,24.1,Beverages,599.2,5,In-Store,Card Payment
Asmara,2022-01-28,138924.11,1,20.4,1.43,195.41,,Clothing,718.56,7,In-Store,Cash
Maputo,2020-11-01,136976.14,1,13.7,4.38,110.7,10.7,Beverages,-276.96,9,In-Store,Card Payment
Dodoma,2021-07-31,1075.17,1,29.7,4.31,193.38,20.0,Furniture,615.92,3,In-Store,Card Payment
Lubango,2021-07-23,172322.94,0,30.3,3.58,132.9,13.0,Beverages,-6.32,7,nan,Mobile Transfer
Asmara,,5323.4,0,19.1,4.96,191.29,2.3,Clothing,-86.77,3,Online,Mobile Transfer
Lusaka,,112743.05,1,11.5,4.72,169.49,2.9,Electronics,0.63,,nan,
,2024-01-29,84671.22,0,14.7,1.86,115.06,5.0,Beverages,,4,In-Store,Cash
Asmara,2024-02-09,13818.52,0,31.6,3.84,144.31,9.8,nan,-360.54,,In-Store,Mobile Transfer
Harare,2025-06-05,193270.38,0,32.2,4.32,132.64,14.6,Clothing,793.73,5,In-Store,Cash
Harare,2024-01-23,71521.78,1,16.3,1.48,104.81,22.3,Beverages,1381.96,8,Online,Card Payment
Gaborone,2021-07-27,66040.57,1,32.9,3.8,196.29,6.8,Groceries,876.0,6,In-Store,Cash
Dodoma,2021-02-25,77326.03,1,28.1,1.52,181.87,3.4,Electronics,123.71,,In-Store,
Nakuru,2024-10-03,53429.67,1,28.0,3.13,121.24,21.8,nan,170.09,3,In-Store,Cash
Nampula,2021-01-09,11630.99,0,,4.47,89.18,5.8,nan,582.78,8,Online,Card Payment
Addis_Ababa,2023-01-05,175096.96,1,39.6,1.9,109.19,4.2,Clothing,1232.6,4,In-Store,Card Payment
Kisumu,2021-02-27,54350.73,0,37.5,1.82,171.35,6.1,Clothing,-95.07,2,In-Store,Card Payment
Tanga,2023-07-10,36243.85,0,14.9,4.86,133.0,4.6,Groceries,437.02,8,Online,Mobile Transfer
Morogoro,2021-02-15,134315.29,0,12.6,2.33,197.87,16.8,Electronics,,5,In-Store,Mobile Transfer
Bulawayo,unknown,,1,unknown,4.29,190.89,18.9,Groceries,1362.45,,In-Store,Mobile Transfer
Kafue,2025-02-02,9189.78,1,17.9,1.83,126.39,18.0,Electronics,572.31,8,In-Store,
Mombasa,2020-08-19,33270.45,1,36.2,4.54,87.27,12.1,Groceries,1061.72,9,In-Store,Card Payment
Juba,2021-05-24,33883.5,1,,1.63,150.71,17.6,Clothing,,8,In-Store,Cash
Dodoma,2020-11-09,61721.46,0,18.1,4.65,156.66,15.5,nan,153.85,1,nan,Mobile Transfer
Kitwe,2025-05-30,58717.5,0,37.2,4.5,195.33,16.2,Electronics,722.85,6,In-Store,Card Payment
Addis_Ababa,2024-11-03,57104.8,1,36.3,4.25,166.42,3.4,Groceries,855.28,,Online,Mobile Transfer
